ows_LinkTitle,ows_Zona,ows_Georeferencia,posy,posx,ows_Municipio
PATAMERO,Isla Baja,"(28.333680245404008, -16.84268943965435)",28.333680245404008,-16.84268943965435,Buenavista del Norte
CASA CLUB CAMPO DE GOLF,Isla Baja,"(28.370055932207705, -16.861423244699836)",28.370055932207705, -16.861423244699836,Buenavista del Norte
Bar Restaurante Casa Riquelme,Isla Baja,"(28.30407840706908, -16.8365478515625)",28.30407840706908,-16.8365478515625,Buenavista del Norte
Restaurante Burga2,Isla Baja,"(28.36874586527231, -16.856117248535156)",28.36874586527231,-16.856117248535156,Buenavista del Norte
Restaurante Arlette,Isla Baja,"(28.30453182058756, -16.83757781982422)",28.30453182058756,-16.83757781982422,Buenavista del Norte
Restaurante La Fuente,Isla Baja,"(28.303776130316578, -16.835689544677734)",28.303776130316578,-16.835689544677734,Buenavista del Norte
El Mundial 82,Isla Baja,"(28.37627902703666, -16.795135259453673)",28.37627902703666,-16.795135259453673,Silos (Los)
Las Piscinas,Isla Baja,"(28.37956399773997, -16.813695788296172)",28.37956399773997, -16.813695788296172,Silos (Los)
La Escuela,Isla Baja,"(28.366366860955896, -16.819489717308898)",28.366366860955896, -16.819489717308898,Silos (Los)
Comidas La UniÃ³n,Isla Baja,"(28.362940753216098, -16.769651882350445)",28.362940753216098, -16.769651882350445,Tanque (El)
Vincci Buenavista Golf & Spa,Isla Baja,"(28.369624702705497, -16.859917603433132)",28.369624702705497,-16.859917603433132,Buenavista del Norte
Espacio GastronÃ³mico La CaÃ±ada,Isla Baja,"(28.372880084420704, -16.765878349542618)",28.372880084420704,-16.765878349542618,Garachico
Taskita (La),Isla Baja,"(28.373087174649278, -16.763615906238556)",28.373087174649278, -16.763615906238556,Garachico
Tasca del Vino (La),Isla Baja,"(28.37376685255872, -16.764216721057892)",28.37376685255872,-16.764216721057892,Garachico
BodegÃ³n Siete Islas,Norte,"(28.38173881799385, -16.673170566209592)",28.38173881799385,-16.673170566209592,Guancha (La)
Tasca BodegÃ³n (El),Norte,"(28.371927855041747, -16.659061429090798)",28.371927855041747,-16.659061429090798,Guancha (La)
Casa Teo,Norte,"(28.3742656, -16.65035320000004)",28.3742656,-16.65035320000004,Guancha (La)
