ows_LinkTitle,ows_Zona,ows_posy,ows_posx,ows_Municipio
Virgen del Rosario,Sur,-34.6230888,-58.39669040000001,San Juan de la Rambla
Semiramis,Norte,28.4162675657398,-16.535346508026123,Puerto de la Cruz (El)
Puerto Azul,Norte,28.41722061321925,-16.553220748901367,Puerto de la Cruz (El)
Casa Tajaraste,Norte,28.3671432,-16.713757100000066,Icod de los Vinos
Tejuma,Norte,28.413134715567924,-16.550989151000976,Puerto de la Cruz (El)
Casa Montiel,Norte,28.344160249064558,-16.70741558074951,Icod de los Vinos
MalpaÃ­s Trece,Isla Baja,28.374105509891603,-16.76338255405426,Garachico
Sol Puerto Playa,Norte,28.414767206287933,-16.556954383850097,Puerto de la Cruz (El)
Puerto de la Cruz,Norte,28.414172718361094,-16.541494131088257,Puerto de la Cruz (El)
Casa del Sol,Norte,28.40958105160581,-16.544786989579734,Puerto de la Cruz (El)
BotÃ¡nico,Norte,28.41157769201495,-16.53755307153915,Puerto de la Cruz (El)
Blue Sea Puerto Resort,Norte,28.415037712821114,-16.534926295062178,Puerto de la Cruz (El)
Luabay,Norte,28.411596565449255,-16.556203365325927,Puerto de la Cruz (El)
Ãngeles,Norte,28.416777116944356,-16.555055379867553,Puerto de la Cruz (El)
Pension AlcalÃ¡,Sur,28.2027234,-16.830429800000047,GuÃ­a de Isora
Morro Catana Dos,Isla Baja,28.30536063838365,-16.83983653318137,Buenavista del Norte
BarcelÃ³ Santiago,Sur,28.2394946,-16.84448670000006,Santiago del Teide
Laguna Nivaria,Metropolitana,28.48705177287774,-16.313297331289505,San CristÃ³bal de la Laguna
Puerto Palace,Norte,28.406694152682266,-16.55191719532013,Puerto de la Cruz (El)
Arenas del Mar,Sur,28.050280515577604,-16.528737545013427,Granadilla de Abona
Medina,Metropolitana,28.4736555,-16.288149699999963,San CristÃ³bal de la Laguna
San Roque,Isla Baja,28.374314957700992,-16.764226108789444,Garachico
Villa Montemar,Norte,28.3971481879871,-16.58212423324585,Realejos (Los)
Turquesa Playa,Norte,28.2915637,-16.629130400000008,Puerto de la Cruz (El)
Astoria,Norte,28.416121305218894,-16.54533326603996,Puerto de la Cruz (El)
Diamante Suites,Norte,28.408663323509376,-16.557489037295454,Puerto de la Cruz (El)
GaroÃ©,Norte,28.41280443981843,-16.53021812438965,Puerto de la Cruz (El)
Bellavista,Norte,28.41635485014794,-16.53689056623989,Puerto de la Cruz (El)
Chinyero,Norte,28.412870494906738,-16.54364436853939,Puerto de la Cruz (El)
Pez Azul,Norte,28.41254493672126,-16.542749404907226,Puerto de la Cruz (El)
TeneguÃ­a,Norte,28.413238516305057,-16.55513048171997,Puerto de la Cruz (El)
Tenerife-Ving,Norte,28.41280443981843,-16.555527448654175,Puerto de la Cruz (El)
Noelia,Norte,28.41224768693777,-16.555589139461517,Puerto de la Cruz (El)
Masaru,Norte,28.41488044170515,-16.537020206451416,Puerto de la Cruz (El)
Palmeras Playa,Norte,28.416899786312594,-16.54270648956299,Puerto de la Cruz (El)
Harbour Club II,Sur,28.2435837,-16.839050000000043,Santiago del Teide
Harbour Club I,Sur,28.2972603,-16.815625400000044,Santiago del Teide
OcÃ©ano and Medical Spa (El),Metropolitana,28.5667931,-16.330869000000007,San CristÃ³bal de la Laguna
Florida,Norte,28.41151163626435,-16.556246280670166,Puerto de la Cruz (El)
Teidemar,Norte,28.415012549538893,-16.536548137664795,Puerto de la Cruz (El)
Park Plaza,Norte,28.416026943485313,-16.55144512653351,Puerto de la Cruz (El)
Casablanca,Norte,28.41342095366973,-16.542790531893843,Puerto de la Cruz (El)
Club Ambassador,Norte,28.407445178610345,-16.538188755403098,Puerto de la Cruz (El)
Florida Plaza,Norte,28.415923145481265,-16.553075909614563,Puerto de la Cruz (El)
Florasol,Norte,28.409237396096507,-16.55040979385376,Puerto de la Cruz (El)
Carabela (La),Norte,28.413578227097087,-16.53968095779419,Puerto de la Cruz (El)
"Dragos, Los",Norte,28.407161283601166,-16.551986932754516,Puerto de la Cruz (El)
Bambi,Norte,28.415726557977564,-16.54507577397453,Puerto de la Cruz (El)
Diamante,Sur,28.2451864,-16.83865049999997,Santiago del Teide
Colonial Parque Los Gigantes,Sur,28.2410705,-16.837404900000024,Santiago del Teide
Parque Vacacional Eden,Norte,28.40907697067249,-16.543360948562622,Puerto de la Cruz (El)
Turquesa Playa,Norte,28.409746981125856,-16.55815601348877,Puerto de la Cruz (El)
Montes de Anaga,Metropolitana,28.548027383214514,-16.20381474494934,San CristÃ³bal de la Laguna
La GaÃ±anÃ­a,Norte,28.387473940716674,-16.566696166992187,Realejos (Los)
TÃ­a Blasina,Norte,28.4479939,-16.441952799999967,Matanza de Acentejo (La)
NavÃ­o (El),Sur,28.207759870210875,-16.83277130126953,GuÃ­a de Isora
PerenquÃ©n (El),Norte,28.3671432,-16.713757100000066,Icod de los Vinos
Finca los Ciruelos,Norte,28.3671432,-16.713757100000066,Icod de los Vinos
Furnia del Bebedero,Norte,28.361835276613522,-16.717243194580078,Icod de los Vinos
Piedras (Las),Isla Baja,28.319211810060768,-16.855606958270073,Buenavista del Norte
Finca Saroga,Norte,28.39124936177221,-16.564464569091797,Realejos (Los)
Mora (La),Sur,28.1867158,-16.76509740000006,GuÃ­a de Isora
The Ritz Carlton Abama,Sur,28.1709783,-16.796781399999986,GuÃ­a de Isora
ViÃ±a Camello,Isla Baja,28.370670506815504,-16.84994213283062,Buenavista del Norte
Finca la Hacienda,Isla Baja,28.3545335,-16.800813000000062,Silos (Los)
Casa Pura,Isla Baja,28.36981734384219,-16.851348280906677,Buenavista del Norte
Asomada del Gato (La),Metropolitana,28.4907243,-16.31592509999996,San CristÃ³bal de la Laguna
Gran MeliÃ¡ Palacio de Isora,Sur,28.20429940365402,-16.830668449401855,GuÃ­a de Isora
Garahotel,Isla Baja,28.37340075922583,-16.76536336541176,Garachico
Aguilas(Las),Norte,28.400089612931904,-16.54557824091171,Puerto de la Cruz (El)
Bentor,Norte,28.3865677,-16.588423499999976,Realejos (Los)
Casa Rosalia,Norte,28.3615016,-16.695904799999994,Icod de los Vinos
La Cuna,Isla Baja,28.32540077202756,-16.80374133400619,Tanque (El)
Luz del Mar,Isla Baja,28.2915637,-16.629130400000008,Silos (Los)
Tinta (la),Isla Baja,28.3204750433696,-16.86498161405325,Buenavista del Norte
Vincci Buenavista Golf & Spa,Isla Baja,28.370558404188383,-16.864099502563476,Buenavista del Norte
Finca La Cancela,Isla Baja,28.370558404188383,-16.848735809326172,Buenavista del Norte
Casa El CardÃ³n,Isla Baja,28.371464662034775,-16.850452423095703,Buenavista del Norte
Noray,Isla Baja,28.372521953071363,-16.85079574584961,Buenavista del Norte
Casa El Patio del Drago,Isla Baja,28.372040509352388,-16.850602626800537,Buenavista del Norte
Finca El Castillo,Isla Baja,28.372975074575738,-16.854186058044433,Buenavista del Norte
Pedregales (Los),Isla Baja,28.342730002987658,-16.856549262301996,Buenavista del Norte
Albergue Bolico,Isla Baja,28.32704892692391,-16.85749053955078,Buenavista del Norte
Casa El Chorro,Isla Baja,28.31879387723202,-16.856870613992214,Buenavista del Norte
Monte del agua,Isla Baja,28.3290245,-16.805024300000013,Silos (Los)
Finca las CaÃ±itas,Isla Baja,28.35907839438851,-16.78203576710075,Tanque (El)
Costa Los Gigantes,Sur,28.2972603,-16.815625400000044,Santiago del Teide
Lagos de CÃ©sar,Sur,28.2343586,-16.840729699999997,Santiago del Teide
Dragos del Sur (Los),Sur,28.233673246151213,-16.841054677788634,Santiago del Teide
Vigilia Park,Sur,28.2394932,-16.840472500000033,Santiago del Teide
Las Rosas,Sur,28.2410105,-16.84055109999997,Santiago del Teide
El MarquÃ©s,Sur,28.24083255316948,-16.84074318400235,Santiago del Teide
SeÃ±orÃ­o del Valle,Sur,28.237194,-16.841890599999942,Santiago del Teide
BarcelÃ³ Varadero,Sur,28.2247013,-16.837363200000027,GuÃ­a de Isora
BahÃ­a Flamingo,Sur,28.2247013,-16.837363200000027,GuÃ­a de Isora
PensiÃ³n La Vista Hotel,Sur,28.2099473,-16.779003399999965,GuÃ­a de Isora
Casa Amarilla,Isla Baja,28.370331838517213,-16.800714969285764,Silos (Los)
Hotel Rural Los Realejos,Norte,28.3784621,-16.58527079999999,Realejos (Los)
Porte (El),Norte,28.522775237715358,-16.348277181386948,Tegueste
Hotel EmblemÃ¡tico San AgustÃ­n,Norte,28.3672269,-16.71820969999999,Icod de los Vinos
Lagarto Backpackers,Metropolitana,28.527355,-16.377920000000017,San CristÃ³bal de la Laguna
Altagay,Metropolitana,28.5681021,-16.3265126,San CristÃ³bal de la Laguna
Finca El Lance,Isla Baja,28.361032493353036,-16.779764648526907,Tanque (El)
DoÃ±a Herminda,Norte,28.4341159,-16.458258200000046,Matanza de Acentejo (La)
Casa El Cantito,,28.3799678,-16.652692200000047,San Juan de la Rambla
"Alenes del Mar, Los",,28.3946722,-16.650480600000037,San Juan de la Rambla
Canaima,Norte,28.4661478,-16.271831900000052,Puerto de la Cruz (El)
4 dreams H. Chimisay,Norte,28.4141735,-16.55044309999994,Puerto de la Cruz (El)
Sun Holidays,Norte,28.4164111,-16.553601999999955,Puerto de la Cruz (El)
Punta del Hidalgo,Metropolitana,28.571246225576687,-16.330941058695316,San CristÃ³bal de la Laguna
La Joya,Isla Baja,28.360945679694677,-16.771887838840485,Tanque (El)
"ViÃ±edos de Marco, S.L. (Los)",Norte,28.4954844,-16.3916557,Tacoronte
Juncos (Los),Norte,28.357355,-16.736328400000048,Icod de los Vinos
Apartamentos Estrella del Norte,Norte,28.3623172,-16.71462759999997,Icod de los Vinos
Edf. Soryshe,Isla Baja,28.364263411927585,-16.77278560353443,Tanque (El)
Cejas,Metropolitana,28.4699293,-16.24855630000002,Santa Cruz de Tenerife
Isla Baja Suites,Isla Baja,28.37337096430592,-16.76583543419838,Garachico
La Casona del Patio,Sur,28.237194,-16.841890599999942,Santiago del Teide
Laguna B&B (La),Metropolitana,28.491070714474652,-16.316242888569832,San CristÃ³bal de la Laguna
Alta,Norte,28.4164455,-16.542899300000045,Puerto de la Cruz (El)
BahÃ­a Playa,Norte,28.4104362,-16.559570399999984,Puerto de la Cruz (El)
Panoramica Garden,Norte,28.3976243,-16.583522700000003,Realejos (Los)
Maritim,Norte,28.4070555,-16.570362899999964,Realejos (Los)
Topacio Casa EmblemÃ¡tica,Metropolitana,28.4650591,-16.249280099999964,Santa Cruz de Tenerife
Ratones de Biblioteca,Metropolitana,28.4915341,-16.31604200000004,San CristÃ³bal de la Laguna
Patio (El),Isla Baja,28.37507073635781,-16.763463020324707,Garachico
Elegance Dania Park,Norte,28.4142284,-16.55278599999997,Puerto de la Cruz (El)
Finca Los Geranios,Norte,28.51668839257753,-16.313558667898178,Tegueste
Casa La Ranita Ecohostel,Isla Baja,28.365777467225833,-16.817522649653256,Silos (Los)
Casita del muelle (La),Isla Baja,28.37331373443627,-16.76348716020584,Garachico
